Date,NFCI
2014-05-09,-0.77898
2014-05-16,-0.78321
2014-05-23,-0.78946
2014-05-30,-0.79532
2014-06-06,-0.79873
2014-06-13,-0.79897
2014-06-20,-0.79565
2014-06-27,-0.7887
2014-07-04,-0.77875
2014-07-11,-0.76726
2014-07-18,-0.75518
2014-07-25,-0.74463
2014-08-01,-0.73615
2014-08-08,-0.73124
2014-08-15,-0.7308
2014-08-22,-0.73059
2014-08-29,-0.72818
2014-09-05,-0.72227
2014-09-12,-0.71147
2014-09-19,-0.69619
2014-09-26,-0.67863
2014-10-03,-0.66213
2014-10-10,-0.65011
2014-10-17,-0.64196
2014-10-24,-0.64319
2014-10-31,-0.64834
2014-11-07,-0.65551
2014-11-14,-0.66052
2014-11-21,-0.6598
2014-11-28,-0.65315
2014-12-05,-0.63994
2014-12-12,-0.61972
2014-12-19,-0.59644
2014-12-26,-0.57431
2015-01-02,-0.55169
2015-01-09,-0.53331
2015-01-16,-0.51868
2015-01-23,-0.51032
2015-01-30,-0.50697
2015-02-06,-0.50848
2015-02-13,-0.5132
2015-02-20,-0.52006
2015-02-27,-0.52725
2015-03-06,-0.53234
2015-03-13,-0.53614
2015-03-20,-0.5394
2015-03-27,-0.54126
2015-04-03,-0.54293
2015-04-10,-0.54504
2015-04-17,-0.54645
2015-04-24,-0.54851
2015-05-01,-0.54948
2015-05-08,-0.54939
2015-05-15,-0.54978
2015-05-22,-0.55031
2015-05-29,-0.55004
2015-06-05,-0.54932
2015-06-12,-0.54817
2015-06-19,-0.54546
2015-06-26,-0.5428
2015-07-03,-0.53768
2015-07-10,-0.53272
2015-07-17,-0.52734
2015-07-24,-0.51766
2015-07-31,-0.50297
2015-08-07,-0.48407
2015-08-14,-0.46254
2015-08-21,-0.43998
2015-08-28,-0.41962
2015-09-04,-0.40654
2015-09-11,-0.4008
2015-09-18,-0.40099
2015-09-25,-0.40681
2015-10-02,-0.41666
2015-10-09,-0.43258
2015-10-16,-0.44722
2015-10-23,-0.46028
2015-10-30,-0.46958
2015-11-06,-0.47316
2015-11-13,-0.46956
2015-11-20,-0.46014
2015-11-27,-0.44618
2015-12-04,-0.42755
2015-12-11,-0.40534
2015-12-18,-0.38369
2015-12-25,-0.36352
2016-01-01,-0.34576
2016-01-08,-0.33007
2016-01-15,-0.31631
2016-01-22,-0.30598
2016-01-29,-0.29927
2016-02-05,-0.2956
2016-02-12,-0.29577
2016-02-19,-0.30449
2016-02-26,-0.31757
2016-03-04,-0.33343
2016-03-11,-0.3492
2016-03-18,-0.36338
2016-03-25,-0.37292
2016-04-01,-0.37971
2016-04-08,-0.38324
2016-04-15,-0.38585
2016-04-22,-0.38752
2016-04-29,-0.38739
2016-05-06,-0.38584
2016-05-13,-0.38402
2016-05-20,-0.38109
2016-05-27,-0.37666
2016-06-03,-0.37053
2016-06-10,-0.36362
2016-06-17,-0.35578
2016-06-24,-0.35063
2016-07-01,-0.34744
2016-07-08,-0.34848
2016-07-15,-0.35257
2016-07-22,-0.35679
2016-07-29,-0.36107
2016-08-05,-0.36334
2016-08-12,-0.36363
2016-08-19,-0.36134
2016-08-26,-0.35624
2016-09-02,-0.34918
2016-09-09,-0.34327
2016-09-16,-0.33885
2016-09-23,-0.33759
2016-09-30,-0.34072
2016-10-07,-0.34786
2016-10-14,-0.35696
2016-10-21,-0.36819
2016-10-28,-0.38119
2016-11-04,-0.39325
2016-11-11,-0.40726
2016-11-18,-0.42009
2016-11-25,-0.43138
2016-12-02,-0.44129
2016-12-09,-0.45017
2016-12-16,-0.4571
2016-12-23,-0.4629
2016-12-30,-0.46927
2017-01-06,-0.47493
2017-01-13,-0.48068
2017-01-20,-0.48547
2017-01-27,-0.48911
2017-02-03,-0.49148
2017-02-10,-0.49276
2017-02-17,-0.49219
2017-02-24,-0.49005
2017-03-03,-0.48815
2017-03-10,-0.48559
2017-03-17,-0.48325
2017-03-24,-0.48175
2017-03-31,-0.48312
2017-04-07,-0.48644
2017-04-14,-0.49215
2017-04-21,-0.4999
2017-04-28,-0.51007
2017-05-05,-0.52023
2017-05-12,-0.53025
2017-05-19,-0.53911
2017-05-26,-0.54817
2017-06-02,-0.55536
2017-06-09,-0.56115
2017-06-16,-0.56553
2017-06-23,-0.56853
2017-06-30,-0.57176
2017-07-07,-0.57481
2017-07-14,-0.57804
2017-07-21,-0.58026
2017-07-28,-0.5799
2017-08-04,-0.57684
2017-08-11,-0.57159
2017-08-18,-0.56619
2017-08-25,-0.56218
2017-09-01,-0.56004
2017-09-08,-0.55972
2017-09-15,-0.56265
2017-09-22,-0.56712
2017-09-29,-0.57269
2017-10-06,-0.57967
2017-10-13,-0.58686
2017-10-20,-0.59379
2017-10-27,-0.59923
2017-11-03,-0.60345
2017-11-10,-0.60558
2017-11-17,-0.60664
